iter	Passed	Remaining
0	0	481
1	0	384
2	0	329
3	1	306
4	1	299
5	1	290
6	2	285
7	2	280
8	2	276
9	2	275
10	3	271
11	3	270
12	3	266
13	3	263
14	3	261
15	4	259
16	4	257
17	4	259
18	5	259
19	5	258
20	5	256
21	5	254
22	5	253
23	6	253
24	6	252
25	6	252
26	6	251
27	7	249
28	7	248
29	7	248
30	7	247
31	8	246
32	8	245
33	8	245
34	8	244
35	9	243
36	9	242
37	9	242
38	9	241
39	10	240
40	10	240
41	10	239
42	10	238
43	11	240
44	11	239
45	11	239
46	11	238
47	11	237
48	12	237
49	12	236
50	12	236
51	13	237
52	13	236
53	13	236
54	13	235
55	13	235
56	14	235
57	14	234
58	14	234
59	14	233
60	15	233
61	15	233
62	15	233
63	15	232
64	16	233
65	16	232
66	16	232
67	16	232
68	17	231
69	17	231
70	17	231
71	17	231
72	18	232
73	18	232
74	18	232
75	19	231
76	19	231
77	19	232
78	19	232
79	20	232
80	20	232
81	20	232
82	20	230
83	21	229
84	21	229
85	21	229
86	21	228
87	22	228
88	22	228
89	22	227
90	22	227
91	23	227
92	23	226
93	23	226
94	23	226
95	23	225
96	24	225
97	24	225
98	24	225
99	24	224
100	25	224
101	25	224
102	25	224
103	26	224
104	26	223
105	26	223
106	26	223
107	26	222
108	27	222
109	27	222
110	27	221
111	27	221
112	28	221
113	28	220
114	28	220
115	28	219
116	29	219
117	29	218
118	29	218
119	29	218
120	29	217
121	30	216
122	30	216
123	30	216
124	30	215
125	31	215
126	31	214
127	31	214
128	31	214
129	32	214
130	32	213
131	32	213
132	32	214
133	33	213
134	33	213
135	33	213
136	33	213
137	34	212
138	34	212
139	34	212
140	34	212
141	34	211
142	35	210
143	35	210
144	35	210
145	35	209
146	36	209
147	36	209
148	36	208
149	36	208
150	37	208
151	37	208
152	37	207
153	37	207
154	37	207
155	38	206
156	38	206
157	38	206
158	38	205
159	39	205
160	39	204
161	39	204
162	39	204
163	40	203
164	40	203
165	40	203
166	40	202
167	40	202
168	41	202
169	41	202
170	41	202
171	41	202
172	42	202
173	42	201
174	42	201
175	42	201
176	43	200
177	43	200
178	43	200
179	43	200
180	44	199
181	44	199
182	44	199
183	44	199
184	45	198
185	45	198
186	45	198
187	45	198
188	46	197
189	46	197
190	46	197
191	46	196
192	47	196
193	47	196
194	47	196
195	47	196
196	48	195
197	48	195
198	48	195
199	48	195
200	49	195
201	49	195
202	49	195
203	50	195
204	50	195
205	50	195
206	51	195
207	51	195
208	51	194
209	51	194
210	52	194
211	52	194
212	52	194
213	52	194
214	53	193
